genre,top,left,font_pct
deep active rock,3607,236,100
deep adult standards,18352,686,100
deep ambient,17137,117,100
deep big room,2718,542,100
deep brazilian pop,15988,847,100
deep breakcore,4509,767,100
deep ccm,11551,304,104
deep chill,4123,949,101
deep chill-out,5261,854,100
deep christian rock,9131,566,100
deep classic garage rock,13047,563,100
deep comedy,19533,1062,101
deep contemporary country,10325,639,100
deep dance pop,3957,763,100
deep darkpsy,1037,821,100
deep deep house,597,1379,100
deep deep tech house,536,1386,100
deep delta blues,21216,891,100
deep disco,4396,1047,100
deep disco house,621,1340,102
deep discofox,2060,817,100
deep dnb,1876,1099,101
deep downtempo fusion,5101,1026,100
deep dubstep,2526,1086,100
deep east coast hip hop,7398,1101,100
deep euro house,945,1275,104
deep eurodance,2601,949,100
deep filthstep,2623,726,100
deep flow,7435,1019,100
deep folk metal,7212,192,100
deep free jazz,18732,659,100
deep freestyle,2228,986,100
deep full on,701,915,100
deep funk,9418,957,100
deep funk house,424,1389,100
deep funk ostentacao,6604,1284,100
deep g funk,4834,1168,100
deep german hip hop,9139,980,102
deep german indie,8249,593,101
deep german punk,7310,341,100
deep gothic post-punk,4396,341,100
deep groove house,1453,1150,103
deep happy hardcore,1630,765,100
deep hardcore,1870,856,100
deep hardcore punk,10758,362,100
deep hardtechno,921,758,100
deep house,1121,1226,105
deep idm,6175,826,100
deep indie pop,11747,460,100
deep indie rock,7606,484,100
deep indie singer-songwriter,12363,612,100
deep italo disco,6842,959,100
deep jazz fusion,12203,724,100
deep latin alternative,8298,718,100
deep latin christian,12699,697,102
deep latin jazz,14613,921,100
deep liquid,1417,872,100
deep liquid bass,1826,1105,100
deep melodic death metal,4383,220,100
deep melodic hard rock,6952,260,100
deep melodic metalcore,6629,268,100
deep metalcore,3924,227,100
deep minimal techno,219,1372,101
deep motown,15058,734,100
deep neo-synthpop,1388,703,100
deep neofolk,13294,471,100
deep new americana,12117,593,101
deep new wave,3156,694,100
deep norteno,10697,973,100
deep northern soul,10967,788,100
deep orgcore,10061,242,100
deep pop edm,2596,815,102
deep pop emo,5803,308,100
deep power-pop punk,9303,308,100
deep progressive house,351,1240,100
deep progressive rock,9574,296,100
deep progressive trance,1373,854,100
deep psychobilly,10097,492,100
deep psytrance,1282,1125,100
deep punk rock,10687,400,100
deep r&amp;b,3916,986,100
deep ragga,5680,1193,100
deep rai,5880,847,101
deep smooth jazz,8088,941,101
deep smooth r&amp;b,8716,913,100
deep soft rock,9957,731,100
deep soul house,1404,1221,100
deep soundtrack,17300,212,100
deep southern soul,12998,864,100
deep southern trap,4822,1073,100
deep space rock,10232,289,100
deep sunset lounge,7718,646,100
deep surf music,11759,454,100
deep swedish rock,7248,384,100
deep symphonic black metal,10563,67,100
deep talent show,9819,544,101
deep tech house,190,1360,101
deep techno,902,1256,100
deep tropical house,2752,967,103
deep turkish pop,5009,862,102
deep underground hip hop,7900,1073,105
deep uplifting trance,1642,758,100
deep vocal house,1564,933,100
deep vocal jazz,18919,839,100
delaware indie,8518,372,100
delta blues,19988,1101,101
dembow,4997,1245,104
dembow dominicano,7679,1268,102
demoscene,4454,765,100
dennery segment,4806,1134,100
denpa-kei,2776,526,101
denton tx indie,10501,396,100
denver indie,10662,484,100
denver metal,8061,172,100
denver rap,7584,1002,100
depressive black metal,11234,66,101
derby indie,9194,427,100
derry indie,11808,479,100
desert blues,12823,921,101
desi emo rap,11840,1053,102
desi hip hop,6488,1056,111
desi pop,9243,813,112
desi trap,7117,1090,104
dessin anime,9831,703,100
destroy techno,1688,1132,100
detroit hip hop,9970,1049,110
detroit house,1048,1266,100
detroit indie,7854,556,100
detroit rock,11005,384,103
detroit techno,1367,1193,100
detroit trap,5768,1051,104
detroit trap brasileiro,6324,1103,102
detroit trap en espanol,6174,1030,100
detske pesnicky,12648,1041,100
detske pisnicky,15780,1004,100
detski pesnichki,12537,982,100
detskie pesni,13047,1077,100
detskie rasskazy,19696,1261,100
deutschrock,5678,356,101
devon indie,10214,533,100
dfw rap,5581,1097,108
dhrupad,19024,471,100
dicsoites,11280,547,100
didgeridoo,10942,756,100
digital hardcore,3741,416,102
dikir barat,6487,887,100
dinner jazz,15839,1026,103
dirty south rap,5026,1088,109
dirty texas rap,5631,1110,100
disco,8690,881,109
disco house,1121,1112,104
disco polo,1208,1123,101
discofox,1914,826,102
dissonant death metal,11685,94,100
diva house,1492,1073,103
dixieland,19521,1028,102
diy emo,8025,341,101
diy pop punk,6309,327,100
dizi,17943,418,100
djecje pjesme,9768,802,100
djembe,15605,1252,100
djent,5602,232,103
dmv rap,7584,1086,101
dogri pop,8335,854,100
dombra,16540,992,100
dominican indie,7433,881,100
dominican pop,9076,988,101
dong-yo,11667,1051,101
doo-wop,15361,700,103
doom metal,10892,149,101
doomcore,2463,561,100
doomgaze,10042,88,101
dortmund indie,4964,501,100
double drumming,11246,358,101
doujin,4325,544,101
downtempo,4888,802,107
downtempo bass,4220,923,101
downtempo deathcore,6715,249,101
downtempo fusion,5671,680,100
draaiorgel,15220,655,100
draga,2951,1000,101
dragspel,15171,813,100
drain,7805,596,101
drama,16511,1377,100
dream plugg,7656,847,102
dream pop,10178,337,108
dream trance,1158,1051,101
dreamgaze,7261,188,101
dreamo,6530,274,105
dreampunk,13238,266,101
dresden indie,10109,486,100
drift,19871,41,101
drift phonk,2339,939,107
drikkelek,2835,1028,100
drill,6061,979,105
drill and bass,5289,810,101
drill beats,2618,1217,100
drill brasileiro,9805,1058,101
drill chileno,6577,1094,102
drill dominicano,8841,1166,100
drill espanol,8297,1134,105
drill francais,6564,1152,105
drill italiana,8902,1017,102
drill tuga,10599,1125,100
drone,16745,194,102
drone ambient,19287,29,100
drone folk,17400,578,100
drone metal,11661,120,101
drone psych,13479,535,100
drone rock,13092,127,100
dronescape,17358,40,100
drum and bass,1739,862,104
drumfunk,2315,957,100
drumless hip hop,11167,824,103
dub,6300,1258,102
dub brasileiro,3547,1159,100
dub metal,8644,335,100
dub poetry,8152,1237,100
dub product,5718,1296,100
dub punk,6331,817,100
dub reggae,1593,1219,100
dub techno,2951,1058,100
dublin indie,9340,422,101
dubstep,4383,772,103
dubstep product,2382,837,100
dubsteppe,1318,1152,100
duduk,16628,390,100
duhovne pjesme,11970,471,100
duluth indie,14032,499,100
dundee indie,10060,392,100
dunedin indie,12191,456,100
dunedin sound,10513,408,100
dungeon rap,4466,783,100
dungeon synth,13267,145,101
duranguense,8953,992,103
dusseldorf electronic,2411,1132,101
dusseldorf indie,6321,604,100
dutch americana,13121,586,101
dutch baroque,21352,289,100
dutch black metal,10110,31,100
dutch blues,12474,593,100
dutch cabaret,16436,909,102
dutch classical piano,21864,528,100
dutch contemporary classical,20714,402,100
dutch death metal,10330,138,100
dutch dnb,2253,925,101
dutch drill,7017,1152,101
dutch edm,1999,868,106
dutch experimental,15663,342,100
dutch experimental electronic,4596,885,100
dutch folk,16010,760,100
dutch hip hop,6903,1123,106
dutch house,2339,832,108
dutch idol pop,7249,753,100
dutch indie,11031,547,102
dutch indie rock,8444,441,101
dutch jazz,17154,697,100
dutch metal,8431,188,102
dutch moombahton,2922,1214,100
dutch musical,14672,563,100
dutch pop,9749,708,106
dutch prog,12154,503,100
dutch punk,8224,313,100
dutch punk rock,5928,292,100
dutch r&amp;b,8540,939,101
dutch rap pop,6829,1150,104
dutch rock,10313,551,104
dutch singer-songwriter,14278,721,101
dutch stoner rock,10917,214,100
dutch tech house,584,1347,101
dutch trance,2309,716,103
dutch trap,7839,1132,101
dutch underground hip hop,11889,1004,100
dweilorkest,14229,756,100
dytyachi pisni,8211,883,100
early american folk,18089,808,100
early avant garde,21683,767,101
early french punk,7544,519,100
early modern classical,21889,370,103
early music,20660,388,105
early music choir,22060,95,100
early music ensemble,21230,327,101
early reggae,9028,1200,101
early romantic era,22061,447,104
early synthpop,2893,837,101
early us punk,10699,394,102
east anglia indie,8457,394,100
east coast hip hop,7975,1112,112
east coast reggae,7950,1004,101
eastern bloc groove,14291,633,100
easy listening,18744,519,108
easycore,3653,258,102
eau claire indie,13837,456,102
ebm,1826,680,101
ecm-style jazz,18995,593,101
ectofolk,14192,624,104
ecuadorian alternative rock,7841,526,100
ecuadorian indie,8174,700,101
ecuadorian pop,8372,975,101
edinburgh indie,8112,422,100
edinburgh metal,9352,178,100
edm,2647,767,121
edmonton indie,9465,554,104
edo old school,11938,1086,100
egg punk,8026,464,101
egyptian alternative,9969,705,102
egyptian hip hop,11852,1009,102
egyptian pop,7285,858,105
egyptian traditional,16940,837,100
egyptian trap,10660,998,102
el paso indie,9157,360,105
electra,5202,885,104
electric bass,15547,806,101
electric blues,15634,887,105
electro,1675,1148,104
electro bailando,2715,1077,101
electro dub,2701,1023,101
electro house,2180,839,113
electro jazz,4670,971,101
electro latino,2513,1041,105
electro swing,2937,1123,102
electro trash,2088,923,101
electro-industrial,1593,646,101
electro-pop francais,5588,877,102
electroacoustic composition,18469,374,100
electroacoustic improvisation,16318,384,100
electroclash,1914,953,101
electrofox,2265,877,102
electronic djent,4676,285,101
electronic rock,2425,618,102
electronic trap,3519,858,105
electronica,4483,817,108
electronica argentina,5933,744,103
electronica chilena,2847,1090,100
electronica cristiana,2791,765,100
electronica peruana,921,1364,100
electronica venezuela,336,1397,100
electronicore,4179,210,100
electropop,5199,781,109
electropowerpop,3068,559,102
elektropunk,3582,885,101
elephant 6,11624,449,101
eletronica underground brasileira,2177,1141,100
emo,7485,333,108
emo mexicano,6210,339,101
emo punk,10337,339,100
emo rap,6791,758,109
emo rap italiano,6941,808,102
emo trap en espanol,5945,772,101
emo trap italiana,6965,806,100
emocore,10349,390,100
emoplugg,5128,607,101
emotional black metal,9981,45,100
emoviolence,11514,138,100
english baroque,20727,402,101
english indie rock,5569,380,103
english renaissance,21718,333,100
enka,14991,427,101
entehno,15095,607,102
environmental,17154,43,105
epa dunk,2553,923,101
epic black metal,8540,57,100
epic collage,12783,370,100
epic doom,11027,145,100
epicore,8595,319,104
epunk,8824,366,100
er ge,11901,990,100
erhu,19462,270,100
eritrean pop,10550,856,100
erotic product,18527,214,100
erotica,12092,799,100
erotik,16774,1381,100
escape room,5526,883,107
esperanto,11643,790,100
essex indie,7670,490,100
estonian electronic,3828,919,100
estonian folk,13920,670,100
estonian hip hop,6199,967,101
estonian indie,10121,479,100
estonian jazz,16932,683,100
estonian metal,5334,279,100
estonian pop,6568,713,101
estonian rock,12474,441,100
ethereal gothic,6198,447,100
ethereal wave,10257,289,102
etherpop,10398,512,104
ethio-jazz,13776,756,101
ethiopian hip hop,8515,1097,100
ethiopian pop,8778,864,101
ethiopian traditional,19475,864,100
ethnomusicology,18440,917,100
ethnotronica,1453,1285,101
eugene indie,11430,492,100
euphonium,21206,456,100
euphoric hardstyle,2747,477,103
euro hi-nrg,1067,913,100
eurobeat,1885,583,101
eurodance,1534,917,108
europop,2922,786,110
euroska,6304,907,100
euskal indie,6481,528,100
euskal metal,5815,281,100
euskal musica,12897,556,101
euskal reggae,4775,965,100
euskal rock,8346,512,101
eventyr,15809,1273,100
exotica,17241,650,100
experimental,14587,519,102
experimental ambient,15751,294,101
experimental bass,4645,957,101
experimental big band,16306,542,100
experimental black metal,11465,127,100
experimental classical,19521,218,101
experimental club,4751,907,100
experimental dub,4342,957,100
experimental dubstep,1294,1071,100
experimental electronic,8199,718,100
experimental folk,16114,348,101
experimental guitar,17271,540,100
experimental hip hop,10601,760,103
experimental house,2387,1084,100
experimental indie,11869,646,100
experimental indie rock,12449,477,100
experimental jazz,13084,581,100
experimental percussion,15249,561,100
experimental poetry,17358,947,100
experimental pop,11609,535,104
experimental psych,15722,274,100
experimental r&amp;b,10044,746,103
experimental rock,12599,449,102
experimental synth,13971,388,100
experimental techno,2651,979,100
experimental vocal,15119,490,101
extratone,4325,452,100
fado,17797,726,101
fado antigo,20322,734,100
fado de coimbra,20602,697,100
fado instrumental,17291,758,100
fake,6488,1007,100
fallen angel,5639,218,101
family gospel,13515,537,101
fan chant,18878,412,100
fantasy,14439,335,101
fantasy metal,5688,176,102
faroese folk,16832,591,100
faroese indie,12795,510,100
faroese jazz,16394,677,100
faroese pop,13022,561,100
faroese rock,6469,325,100
fast melodic punk,5854,266,100
festigal,7286,621,100
fictitious orchestra,20544,404,100
fidget house,1700,1126,101
field recording,17417,258,100
fife and drum,13660,1071,100
fijian pop,6500,977,100
filmi,15070,772,124
filter house,1973,982,105
filthstep,3185,736,102
fingerstyle,18030,969,101
finlandssvenska musik,9869,609,100
finnish alternative rock,5143,339,101
finnish black metal,9549,47,100
finnish blues,11455,624,100
finnish choir,22180,158,100
finnish classical,22036,198,101
finnish contemporary classical,21816,185,100
finnish dance pop,4413,866,103
finnish death metal,6027,127,101
finnish doom metal,9969,124,100
finnish drill,4518,1139,101
finnish edm,1654,795,101
finnish electro,3385,795,100
finnish electronic,3448,961,100
finnish experimental,11343,588,100
finnish folk,14847,524,100
finnish hard rock,4939,274,101
finnish hardcore,10746,249,100
finnish heavy metal,4646,227,101
finnish hip hop,5935,1021,104
finnish idol pop,8775,508,100
finnish indie,8650,621,101
finnish jazz,14909,646,100
finnish melodeath,4759,131,101
finnish metal,5063,179,102
finnish metalcore,2951,179,100
finnish modern jazz,15584,621,100
finnish new wave,9751,540,100
finnish pop,5729,670,104
finnish pop punk,6112,339,100
finnish post-punk,7670,306,100
finnish power metal,4537,210,102
finnish progressive metal,5790,190,100
finnish progressive rock,12105,384,100
finnish psychedelic rock,11514,238,100
finnish punk,9587,337,101
finnish reggae,5375,1099,100
finnish rockabilly,10489,689,100
finnish soul,10159,758,100
finnish tango,16757,549,100
finnish techno,1651,1071,100
finnish trap,4086,1075,101
finnish worship,9157,599,100
firenze indie,8595,481,100
fisarmonica,12772,1011,100
flamenco,17943,903,102
flamenco fusion,9619,963,101
flamenco guitar,18043,935,101
flamenco urbano,7067,1045,105
flashcore,5611,627,100
flemish folk,13527,751,100
flick hop,8285,959,100
flint hip hop,7422,1058,101
float house,1768,1148,103
florida death metal,11296,183,101
florida drill,5904,1153,105
florida hardcore,11112,283,100
florida rap,6187,1137,107
flute rock,13035,422,101
fluxwork,7943,721,101
fo jing,14477,376,100
focus,18556,398,103
focus beats,13148,1015,102
focus trance,263,1278,100
fogo pentecostal,9218,716,101
folclor afrocolombiano,12784,1094,101
folclor colombiano,13351,1092,101
folclore castilla y leon,15485,806,100
folclore extremeno,13652,885,100
folclore jujeno,14637,917,100
folclore navarra,18856,808,100
folclore portugues,12761,781,100
folclore salteno,16172,975,101
folclore santiagueno,14699,963,101
folclore tucumano,17680,907,101
folk,15717,741,109
folk black metal,8515,115,100
folk brasileiro,12054,721,103
folk cantabria,15722,627,100
folk metal,6002,194,102
folk metal latinoamericano,8776,242,100
folk punk,12909,581,102
folk rock,14550,650,112
folk rock italiano,14254,716,102
folk siciliana,12971,781,100
folk-pop,11056,583,109
folklore argentino,16465,933,103
folklore boliviano,13323,897,101
folklore chileno,14774,897,100
folklore cuyano,16423,1011,100
folklore ecuatoriano,15517,1126,101
folklore nuevo argentino,14601,897,101
folklore panameno,15033,951,100
folklore paraguayo,14107,891,101
folklore peruano,14810,939,101
folklore quebecois,15008,1002,100
folklore surero,20176,1086,101
folklore uruguayo,17446,971,100
folklore venezolano,15926,947,100
folklore veracruzano,15985,986,100
folkmusik,17358,561,101
folktronica,11491,646,102
football,13862,591,101
footwork,2599,1119,100
forest black metal,11416,50,100
forest psy,336,1004,100
forro,7729,965,109
forro de favela,8690,941,102
forro gospel,7716,911,101
forro instrumental,10800,864,100
forro manauara,11341,1157,100
forro tradicional,10907,917,101
fort wayne indie,10158,484,100
fort worth indie,7631,431,100
fotbollslatar,8766,788,102
fourth world,16248,386,102
frafra,10096,1144,100
franco-flemish school,22110,143,100
frankfurt electronic,789,1235,101
frankfurt indie,7063,394,100
frauenrap,7104,1148,103
freak folk,14980,506,101
freakbeat,12611,530,100
free folk,17504,337,100
free improvisation,18130,586,100
free jazz,18323,718,101
freeform hardcore,1812,700,100
freestyle,2302,992,102
fremantle indie,7519,624,101
french baroque,20439,329,101
french black metal,10477,43,100
french classical piano,22375,508,100
french contemporary classical,20772,294,100
french death metal,8491,167,101
french dnb,2104,949,100
french dub,2777,1023,101
french emo,10624,174,100
french experimental rock,12326,486,100
french folk,17884,841,100
french folk pop,10685,901,101
french garage rock,7842,323,100
french hardcore,7657,207,100
french hip hop,10918,1073,116
french indie folk,12215,686,101
french indie pop,6343,774,105
french indietronica,4657,810,104
french jazz,18732,971,101
french metal,7383,212,101
french movie tunes,14540,741,101
french oi,6879,394,100
french opera,21510,360,102
french orchestra,20977,313,100
french pop,9855,711,109
french post-punk,7618,802,100
french post-rock,9749,255,100
french psychedelic,7087,486,101
french punk,6591,400,101
french reggae,8878,1041,102
french renaissance,21401,342,100
french rock,11378,819,105
french rock-and-roll,14811,686,100
french rockabilly,12573,694,100
french romanticism,21877,296,102
french shoegaze,8309,185,102
french soundtrack,17534,350,102
french stoner rock,10354,220,100
french synthpop,5319,607,103
french tech house,248,1386,102
french techno,760,1203,102
french worship,12019,486,101
frenchcore,2922,568,102
frevo,12773,813,100
friese muziek,11759,734,100
fuji,12846,1092,100
full on,731,1007,101
full on groove,614,1051,100
funana,3522,1106,101
funeral doom,11357,50,100
funk,9793,919,108
funk 150 bpm,7167,1299,103
funk bh,11017,1273,104
funk capixaba,6879,1284,100
funk carioca,6550,1205,111
funk consciente,8812,1258,106
funk das antigas,3741,1162,103
funk evangelico,5655,1053,101
funk mandelao,6664,1237,103
funk melody,2977,1071,101
funk metal,7273,499,109
funk mexicano,4208,909,100
funk mtg,8253,1261,109
funk ostentacao,7013,1259,105
funk paulista,8507,1256,108
funk pop,3928,1162,104
funk rj,6166,1278,107
funk rock,7236,774,108
funk viral,6929,1296,103
funktronica,2688,957,101
funky breaks,1636,1150,101
funky house,684,1285,101
funky tech house,475,1297,101
furry,7014,689,101
fussball,10295,899,101
future ambient,2874,1004,100
future bass,6446,760,102
future bounce,2918,856,101
future funk,2905,866,101
future garage,3098,982,103
future house,2327,889,102
future rock,2482,390,102
futurepop,1476,624,101
futuristic swag,4062,1064,101
fvnky rimex,1023,1198,104
g funk,4923,1187,108
g-house,2740,1060,103
gabber,2177,630,101
gabonese pop,9189,1013,100
gaddiyali pop,6111,703,100
gaian doom,11612,163,101
gainesville indie,9872,462,101
gaita,11718,275,100
gaita zuliana,12487,1056,101
galante era,21084,408,101
galego,10799,615,100
galician folk,13183,441,100
galician indie,9217,559,100
galician jazz,16219,663,100
galician rock,6689,460,100
galway indie,13072,515,100
gambian hip hop,8372,1099,100
gambian pop,9189,1115,100
game mood,6035,949,102
gamecore,4746,734,100
gamelan,14676,858,100
gaming dubstep,3899,779,102
gaming edm,3273,670,104
gangster rap,6148,1103,114
garage house,889,1238,101
garage pop,10502,285,101
garage psych,9169,325,100
garage punk,9106,210,100
garage punk blues,13429,547,100
garage rock,9106,396,110
garage rock mexicano,5977,333,100
garage rock revival,8493,358,102
garhwali pop,12560,790,101
garifuna folk,10574,923,100
garo pop,8497,772,100
gauze pop,6099,748,104
gay chorus,21011,253,100
gayageum,20018,1196,100
gbvfi,11259,400,101
geek folk,13959,729,101
geek rock,8538,849,100
geinin song,5591,760,100
gen z singer-songwriter,12547,760,109
gengetone,8102,1110,101
georgian alternative,7606,767,100
georgian electronic,2290,1106,100
georgian folk,20451,312,100
georgian hip hop,7323,1038,100
georgian polyphony,22338,165,100
georgian pop,12092,683,100
german alternative rap,10320,1051,104
german alternative rock,4922,429,102
german baroque,20702,406,104
german black metal,10122,73,100
german blues,12585,815,100
german boom bap,9854,1130,101
german ccm,11832,677,101
german choir,21571,268,100
german classical piano,21712,680,100
german cloud rap,6766,1036,103
german contemporary classical,21097,358,100
german country,9871,797,101
german dance,2075,899,106
german dark minimal techno,487,1121,100
german death metal,6579,176,100
german dnb,1701,982,100
german drill,7273,1128,105
german electronica,4714,943,100
german grindcore,7940,207,100
german hard rock,6879,270,103
german hardcore,7297,368,100
german heavy metal,5358,258,101
german hip hop,9579,1070,115
german house,1170,1245,102
german hyperpop,5224,799,101
german indie,8087,703,103
german indie folk,12376,700,101
german indie pop,5579,756,100
german indie rock,6432,473,100
german jazz,17692,724,101
german jazz rap,9842,1095,101
german literature,16365,1365,100
german melodeath,5802,165,100
german metal,5890,249,106
german metalcore,4549,190,102
german oi,7633,358,101
german opera,22098,283,100
german orchestra,21608,291,100
german pagan metal,5814,147,100
german pop,6804,795,111
german pop rock,5244,524,102
german post-hardcore,4354,232,101
german post-punk,6616,396,100
german post-rock,8236,420,100
german power metal,5289,199,102
german prog,10613,364,100
german punk,8161,400,102
german punk rock,5778,412,101
german r&amp;b,6854,1002,102
german reggae,7372,1094,102
german renaissance,21755,229,100
german rock,8236,621,105
german rockabilly,11068,741,100
german romanticism,22049,386,104
german shoegaze,7928,225,100
german show tunes,14810,542,101
german singer-songwriter,11092,772,102
german ska,6123,734,101
german soundtrack,15108,255,104
german stoner rock,11502,249,100
german street punk,9230,352,100
german tech house,278,1422,100
german techno,1479,1055,106
german thrash metal,7297,209,100
german trance,1667,837,102
german trap,5273,1019,103
german underground rap,8565,1123,102
german viral rap,8397,1157,101
german worship,11553,621,101
ghanaian alternative,10457,1066,102
ghanaian gospel,9737,744,100
ghanaian hip hop,8201,1123,102
ghanaian pop,8527,1114,102
ghanaian traditional,14227,1182,100
ghazal,15324,724,104
ghent indie,9676,618,100
ghettotech,1355,1313,100
ghoststep,2424,965,100
girl group,2638,913,107
glam metal,8565,317,111
glam punk,8454,274,101
glam rock,11355,528,111
glasgow indie,6382,396,101
glass,19462,317,100
glee club,9417,578,102
glitch,10664,646,101
glitch beats,5680,893,100
glitch hop,3974,893,102
glitch pop,7694,760,100
glitchbreak,4150,501,102
glitchcore,5260,667,105
glitter trance,1300,927,100
gnawa,13945,965,100
go-go,7533,996,100
goa hip hop,8285,1079,100
goa psytrance,716,990,100
goa trance,672,895,100
golden age hip hop,4136,1203,104
gong,18147,826,100
goralski,12018,793,100
goregrind,10843,165,101
gospel,14512,537,103
gospel amapiano,3620,891,100
gospel antigas,12129,563,102
gospel blues,20434,1007,100
gospel drill,9358,1121,100
gospel italiano,12486,429,100
gospel papiamento,7557,781,100
gospel r&amp;b,10056,694,102
gospel rap,8000,1034,100
gospel reggae,6879,992,100
gospel singers,17303,659,100
gospel soul,15110,667,100
gothabilly,7854,344,101
gothenburg hip hop,10171,1045,100
gothenburg indie,10674,486,102
gothenburg metal,6432,194,102
gothic alternative,4563,302,100
gothic americana,12973,488,100
gothic black metal,6928,167,100
gothic doom,8503,253,100
gothic metal,6210,209,103
gothic post-punk,6038,437,100
gothic rock,5639,356,102
gothic symphonic metal,5915,210,103
gotico brasileiro,4354,414,100
gotlandsk musik,14451,540,100
gqom,1084,1221,101
granada indie,7100,427,101
grand rapids indie,11418,503,101
grave wave,5085,479,102
graz indie,6468,627,100
grebo,5358,410,100
greek black metal,8626,81,100
greek clarinet,15939,497,100
greek contemporary classical,18581,490,100
greek downtempo,3632,951,100
greek drill,7608,1092,103
greek fem rap,8778,1051,100
greek folk,15560,741,100
greek guitar,16277,593,100
greek hip hop,5985,1036,103
greek house,1084,1254,101
greek indie,8571,576,101
greek indie rock,7162,506,100
greek jazz,16248,705,100
greek metal,6493,212,101
greek pop,7519,741,104
greek psychedelic rock,10073,341,100
greek punk,6419,337,100
greek rock,6100,366,100
greek swing,13035,828,100
greek techno,945,1180,100
greek trap,6387,1040,104
greek underground rap,10408,1005,101
greenlandic pop,6429,663,100
gregorian chant,20355,408,101
gregorian dance,6604,460,101
grenada soca,3432,1084,100
grim death metal,11636,163,100
grime,6942,1019,105
grime brasileiro,10333,1068,101
grimewave,4062,939,100
grindcore,11319,113,101
griot,12227,1002,100
grisly death metal,8322,147,100
groove gospel,10183,559,101
groove metal,8552,242,106
groove room,1109,1256,101
grunge,10489,308,109
grunge argentina,6088,296,100
grunge brasileiro,6518,352,100
grunge pop,5202,321,100
grunge revival,6542,257,100
grungegaze,6530,143,102
grunneger muziek,11581,718,100
grupera,9816,921,111
gruperas inmortales,12400,990,108
grupero romantico,8677,891,103
guadalajara indie,6543,756,102
guam indie,10837,872,100
guaracha,1207,1316,101
guatemalan indie,9169,599,100
guatemalan metal,9611,232,100
guatemalan pop,6717,982,100
guggenmusik,13788,581,100
guidance,16891,1355,100
guided meditation,19475,156,100
guinean pop,12029,1021,100
guitar case,7399,639,100
guitarra andina,16348,1045,100
guitarra argentina,20953,1079,100
guitarra clasica,22005,923,100
guitarra mexicana,16406,1099,101
guitarra portuguesa,18101,832,100
gujarati garba,14527,731,102
gujarati pop,12351,697,104
gulf hip hop,9152,971,100
gumbe,8164,1049,100
guqin,22092,971,100
guyanese pop,6742,1117,100
guzheng,20660,815,100
gwoka,13578,1030,100
gyerekdalok,13565,1000,100
gym hardstyle,3624,454,105
gym phonk,2382,953,107
gymcore,3594,244,103
gypsy,17709,607,100
gypsy fusion,7508,907,100
gypsy jazz,18966,1119,101
gypsy punk,8625,726,101
h8000,11124,296,100
haitian dance,7384,961,100
haitian gospel,11095,599,100
haitian traditional,17370,959,100
hakkapop,10601,689,100
halftime dnb,3941,959,100
halifax indie,9340,521,100
halloween,13274,321,102
hamburg electronic,1257,1152,102
hamburg hip hop,9090,1075,104
hamburg indie,8087,551,100
hamburger schule,7918,624,100
hamilton on indie,8873,549,100
hammered dulcimer,15663,683,100
hammond organ,14662,893,100
hampton roads indie,10036,435,100
handbells,19053,251,100
handpan,17212,821,101
hands up,1447,834,102
hangoskonyvek,17721,1263,100
happy hardcore,1605,746,102
hard alternative,4325,242,101
hard bass,1454,1070,101
hard bop,18773,854,103
hard chime,8000,408,100
hard dance,906,633,100
hard glam,6297,275,100
hard house,804,1021,100
hard industrial techno,599,923,101
hard minimal techno,614,1482,100
hard motivation,14687,1009,101
hard rock,10110,368,120
hard rock brasileiro,7581,477,103
hard rock mexicano,6321,337,100
hard stoner rock,10782,294,100
hard techno,468,1119,101
hard trance,1140,837,101
hardcore,10415,321,101
hardcore breaks,1227,967,100
hardcore hip hop,10245,1086,108
hardcore punk,10687,287,103
hardcore punk espanol,10563,323,100
hardcore techno,1839,703,102
hardgroove,801,1240,100
hardingfele,19959,319,100
hardstyle,2513,469,100
hardtekk,1367,1101,101
hardvapour,11043,700,101
hardwave,4705,537,103
hare krishna,14798,700,105
harlem hip hop,9932,1047,102
harlem renaissance,20310,975,103
harmonica blues,16494,945,101
harmonica jazz,17750,891,100
harmonikka,16131,736,100
harp,19930,694,100
harpsichord,18915,400,101
harsh noise wall,14027,74,100
haryanvi hip hop,8127,990,103
haryanvi pop,6589,1086,103
haryanvi ragni,15584,947,100
hauntology,13594,388,101
haur kantak,13516,1017,100
hausa pop,11341,1084,100
hawaiian,16189,561,101
hawaiian hip hop,9718,1088,103
hawaiian indie,8625,618,100
hawaiian punk,11296,394,100
hazaragi pop,11704,977,100
healing,16891,151,102
healing hz,19499,108,106
heartland rock,11956,540,114
heavy alternative,3828,266,101
heavy gothic rock,6149,376,100
heavy psych,11429,194,100
hel,8935,274,101
heligonka,10171,689,100
hengelliset laulut,21559,187,100
hexd,4267,542,100
hi-nrg,2425,899,103
hi-tech,2935,515,100
high vibe,11894,731,104
high-tech minimal,804,1350,101
highlife,13417,1060,100
himachali pop,7851,841,101
himalayan folk,17008,549,100
himene tarava,21011,390,100
hindi hip hop,5866,1108,105
hindi indie,8411,659,103
hindi worship,11331,544,100
hindustani classical,18539,568,101
hindustani instrumental,18744,708,100
hindustani vocal,18761,464,100
hinos ccb,16038,515,101
hip hop,6854,1086,135
hip hop boliviano,9063,1090,100
hip hop cubano,12809,1082,101
hip hop galsen,9250,1108,100
hip hop mauritanien,11901,1056,100
